Title,Author,Rating,Want to Read
"Job Scheduling Strategies for Parallel Processing: 16th International Workshop, JSSPP 2012, Shanghai, China, May 25, 2012. Revised Selected Papers",Walfredo Cirne,N/A,1 Want to read
Programming in Prolog,"William F. Clocksin, Christopher S. Mellish",3.0 (1 rating),7 Want to read
Pinterest for dummies,Kelby Carr,N/A,14 Want to read
"Computer science illuminated: Ji suan ji ke xue gai lun (Ying wen ban, di 3 ban)","Nell B. Dale, Nell Dale, John E. Lewis Ph. D.",N/A,17 Want to read
Computing Information Directory (Cid),D. M. Hilderbrandt,N/A,6 Want to read
Computer confluence: exploring tomorrow's technology,"George Beekman, Eugene J. Rathswohl",N/A,2 Want to read
"Speech and Computer: 23rd International Conference, SPECOM 2021, St. Petersburg, Russia, September 27-30, 2021, Proceedings","Albert Ali Salah, Alexey Karpov, Rodmonga Potapova",N/A,1 Want to read
IAENG Transactions on Engineering Sciences: Special Issue of the International MultiConference of Engineers and Computer Scientists 2013 and World Congress on Engineering 2013,"Sio-Iong Ao, Alan Hoi Chan, Hideki Katagiri",N/A,1 Want to read
"Discovering Computer Science: Interdisciplinary Problems, Principles, and Python Programming",Jessen Havill,N/A,6 Want to read
Discrete mathematics,Richard Johnsonbaugh,5.0 (3 ratings),80 Want to read
Eloquent Javascript: A Modern Introduction to Programming,Marijn Haverbeke,4.5 (10 ratings),91 Want to read
Explorations in computing: an introduction to computer science,John S. Conery,N/A,7 Want to read
"Databases in Networked Information Systems: 8th International Workshop, DNIS 2013, Aizu-Wakamatsu, Japan, March 25-27, 2013. Proceedings",Shinji Kikuchi,N/A,1 Want to read
"Combinatorial Image Analysis: 21st International Workshop, IWCIA 2022, Messina, Italy, July 13-15, 2022, Proceedings","Reneta P. Barneva, Valentin E. Brimkov, Jake K. Aggarwal",N/A,1 Want to read
"Serious Games: First Joint International Conference, JCSG 2015, Huddersfield, UK, June 3-4, 2015, Proceedings","Tim Marsh, Minhua Ma, Manuel Fradinho Oliveira, Jannicke Baalsrud Hauge, Stefan Göbel",N/A,3 Want to read
"Digital-Forensics and Watermarking: 10th International Workshop, IWDW 2011, Atlantic City, NJ, USA, October 23-26, 2011, Revised Selected Papers","Yun Qing Shi, Hyoung Joong Kim, Fernando Perez-Gonzalez, Feng Liu",N/A,1 Want to read
"Mining Intelligence and Knowledge Exploration: 7th International Conference, MIKE 2019, Goa, India, December 19-22, 2019, Proceedings","Rajendra Prasath, Anil Kumar Vuppala, T. Kathirvalavakumar",N/A,1 Want to read
"Data Management, Analytics and Innovation: Proceedings of ICDMAI 2021, Volume 1","Valentina Emilia Balas, Neha Sharma, Amlan Chakrabarti",N/A,1 Want to read
"Neural Information Processing: 21st International Conference, ICONIP 2014, Kuching, Malaysia, November 3-6, 2014. Proceedings, Part II","Chu Kiong Loo, Yap Keem Siah, Kok Wai Wong, Andrew Teoh Beng Jin, Kaizhu Huang",N/A,N/A
"Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data: 12th China National Conference, CCL 2013 and First International Symposium, NLP-NABD 2013, Suzhou, China, October 10-12, 2013, Proceedings",Maosong Sun,N/A,1 Want to read
"Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets: AMEC 2011, Taipei, Taiwan, May 2, 2011, and TADA 2011, Barcelona, Spain, July 17, 2011, Revised Selected Papers",Esther David,N/A,1 Want to read
"Multimedia Communications, Services and Security: 6th International Conference, MCSS 2013, Krakow, Poland, June 6-7, 2013. Proceedings",Andrzej Dziech,N/A,1 Want to read
Physics for computer science students: with emphasis on atomic and semiconductor physics,"Narciso Garcia, Arthur Damask, Steven Schwarz",1.0 (1 rating),40 Want to read
"Swarm, Evolutionary, and Memetic Computing: Second International Conference, SEMCCO 2011, Visakhapatnam, Andhra Pradesh, India, December 19-21, 2011, Proceedings, Part II",Bijaya Ketan Panigrahi,N/A,1 Want to read
The little SAS book: a primer,"Lora D. Delwiche, Susan J. Slaughter",N/A,6 Want to read
Discrete mathematics,Kenneth A. Ross,1.7 (3 ratings),45 Want to read
"Information security and employee behaviour: how to reduce risk through employee education, training and awareness",Angus McIlwraith,N/A,2 Want to read
Proceedings of Ciit,V. Sivaraj,N/A,N/A
The Architecture of Computer Hardware and System Software: An Information Technology Approach,Irv Englander,N/A,1 Want to read
Higher national computing,Bruce Hellingsworth,N/A,2 Want to read
Linux Command Line and Shell Scripting Bible,"Richard Blum, Christine Bresnahan",N/A,6 Want to read
"Data-Driven Process Discovery and Analysis: 6th IFIP WG 2. 6 International Symposium, SIMPDA 2016, Graz, Austria, December 15-16, 2016, Revised Selected Papers","Paolo Ceravolo, Stefanie Rinderle-Ma",N/A,1 Want to read
Applied Computing and Information Technology,Roger Y. Lee,N/A,2 Want to read
"Advanced Concepts for Intelligent Vision Systems: 17th International Conference, ACIVS 2016, Lecce, Italy, October 24-27, 2016, Proceedings","Sebastiano Battiato, Jacques Blanc-Talon, Giovanni Gallo, Wilfried Philips, Dan Popescu, Paul Scheunders",N/A,N/A
"Artificial Evolution: 8th International Conference, Evolution Artificielle, EA 2007 Tours, France, October 29-31, 2007, Revised Selected Papers","Evelyne Lutton, Pierrick Legrand, Pierre Parrend, Nicolas Monmarché, Marc Schoenauer",N/A,1 Want to read
Visualizing Technology Complete,Debra Geoghan,N/A,4 Want to read
"Computer and Games: 8th International Conference, Cg 2013, Yokohama, Japan, August 13-15, 2013, Revised Selected Papers","Tristan Cazenave, Mark H.M. Winands, Hiroyuki Iida",N/A,2 Want to read
"Modeling Decisions for Artificial Intelligence: 21st International Conference, MDAI 2024, Tokyo, Japan, September 3-6, 2024, Proceedings","Vincenc Torra, Yasuo Narukawa, Guillermo Navarro-Arribas, David Megías",N/A,1 Want to read
"Elementary Mathematical and Computational Tools for Electrical and Computer Engineers Using Matlab, Second Edition",Jamal T. Manassah,N/A,3 Want to read
Make: Technology on Your Time Volume 32,Mark Frauenfelder,N/A,2 Want to read
"Algorithms and Models for the Web Graph: 9th International Workshop, WAW 2012, Halifax, NS, Canada, June 22-23, 2012. Proceedings",Anthony Bonato,N/A,2 Want to read
"Computer Vision, Imaging and Computer Graphics. Theory and Applications: 10th International Joint Conference, Visigrapp 2015, Berlin, Germany, March 11-14, 2015, Revised Selected Papers","Sebastiano Battiato, Sabine Coquillart, Julien Pettré, Robert S. Laramee, Andreas Kerren, José Braz",N/A,2 Want to read
"Machine Learning and Knowledge Discovery in Databases: European Conference, ECML PKDD 2013, Prague, Czech Republic, September 23-27, 2013, Proceedings, Part II","Hendrik Blockeel, Kristian Kersting, Siegfried Nijssen, Filip Železný",N/A,N/A
"Computational Science and Its Applications -- ICCSA 2015: 15th International Conference, Banff, AB, Canada, June 22-25, 2015, Proceedings, Part III","Osvaldo Gervasi, Beniamino Murgante, Sanjay Misra, Marina L. Gavrilova, Ana Maria Alves Coutinho Rocha, Carmelo Torre, David Taniar, Bernady O. Apduhan",N/A,1 Want to read
"Distributed Computer and Communication Networks: 24th International Conference, DCCN 2021, Moscow, Russia, September 20-24, 2021, Revised Selected Papers","Vladimir M. Vishnevskiy, Konstantin E. Samouylov, Dmitry V. Kozyrev",N/A,1 Want to read
"Future Data and Security Engineering: 7th International Conference, FDSE 2020, Quy Nhon, Vietnam, November 25-27, 2020, Proceedings","Tran Khanh Dang, Roland Wagner, Erich J. Neuhold, Makoto Takizawa, Josef Küng, Nam Thoai",N/A,N/A
"Innovations for Community Services: 23rd International Conference, I4CS 2023, Bamberg, Germany, September 11-13, 2023, Proceedings","Günter Fahrnberger, Gerald Eichler, Christian Erfurth",N/A,1 Want to read
"Operations Research and Enterprise Systems: 4th International Conference, ICORES 2015, Lisbon, Portugal, January 10-12, 2015, Revised Selected Papers","Dominique De Werra, Greg H. Parlier, Begoña Vitoriano",N/A,1 Want to read
"Learning and Collaboration Technologies: Second International Conference, LCT 2015, Held As Part of HCI International 2015, Los Angeles, CA, USA, August 2-7, 2015, Proceedings","Panayiotis Zaphiris, Andri Ioannou",N/A,N/A
"Logic and Discrete Mathematics: A Concise Introduction, Solutions Manual","Willem Conradie, Valentin Goranko",N/A,6 Want to read
"Information Processing and Management of Uncertainty in Knowledge-Based Systems: 16th International Conference, IPMU 2016, Eindhoven, the Netherlands, June 20-24, 2016, Proceedings, Part I","Joao Paulo Carvalho, Marie-Jeanne Lesot, Uzay Kaymak, Susana Vieira, Bernadette Bouchon-Meunier, Ronald R. Yager",N/A,2 Want to read
"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques: 6th International Workshop on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2003 and 7th International Workshop on Randomization and Approximation Techniques in Computer Science, RANDOM 2003, Princeto, NY, USA, August 24-26,2003","Prasad Raghavendra, Sofya Raskhodnikova, Klaus Jansen, José D.P. Rolim",N/A,1 Want to read
"Smart Health: International Conference, ICSH 2014, Beijing, China, July 10-11, 2014. Proceedings","Hsinchun Chen, Daniel Zeng, Xiangbin Yan, Chunxiao Xing",N/A,1 Want to read
"Technologies and Innovation: 6th International Conference, CITI 2020, Guayaquil, Ecuador, November 30-December 3, 2020, Proceedings","Rafael Valencia-García, Katty Lagos-Ortiz, Gema Alcaraz-Mármol, Javier Del Cioppo, Néstor Vera-Lucio, Martha Bucaram-Leverone",N/A,1 Want to read
"Computer Networks: 21st International Conference, CN 2014, Brunów, Poland, June 23-27, 2014. Proceedings","Andrzej Kwiecien, Piotr Gaj, Piotr Stera",N/A,4 Want to read
Learn Java for Android Development: Java 8 and Android 5 Edition,Jeff Friesen,5.0 (1 rating),9 Want to read
"Mobile Networks and Management: 4th International Conference, MONAMI 2012, Hamburg, Germany, September 24-26, 2012, Revised Selected Papers",Andreas Timm-Giel,N/A,5 Want to read
